"","it","t_mid","K","time","br","pr"
"1545",401,13.8180162381304,763.267310658327,-37.0161645134064,956,0.761293484000715
"1546",401,12.7115480130631,280.436076999952,-31.9735569003018,552,0.105009134203596
"1547",401,20.6548514686014,205.716029943912,-36.4558173283907,716,0.0922330359779275
"1548",401,33.4959072668665,177.618161914391,-46.6226039646682,272,0.0361748234043805
"1549",402,12.4880452190128,676.119654446725,-36.9267436663089,956,0.775331927942952
"1550",402,13.5579446124547,322.689472225502,-31.3800765228481,553,0.116707596926583
"1551",402,10.4019076896701,102.219359378665,-34.9367662989045,827,0.0709710866148854
"1552",402,8.92229379913427,66.5382668221276,-45.1457100619627,272,0.0327237761464163
"1553",403,12.7411482596264,685.399993602676,-37.0190708838669,956,0.760033988265388
"1554",403,12.2202529854429,236.319712538478,-31.5536059745928,553,0.101399517510069
"1555",403,21.8814283341614,220.419281368147,-35.368245858278,827,0.0959781997015177
"1556",403,29.7163030128517,201.283943643307,-45.4240472273627,272,0.039972386778535
"1557",404,14.3673719855072,799.730765776682,-36.9671232793584,956,0.776716284584149
"1558",404,16.8634690478128,475.72560962301,-31.923708622301,552,0.107254964869101
"1559",404,11.6869324285447,119.689409009914,-35.0901316540096,827,0.0756788808077888
"1560",404,43.236285900414,410.252029592198,-45.9228843203647,272,0.0385190184325007
"1561",405,11.8966961563963,573.71139423276,-36.9503645178201,956,0.739237294346331
"1562",405,20.7529665907289,636.963924087398,-31.89710477881,552,0.114907236432479
"1563",405,25.5144142874025,316.886060794629,-35.1739768461843,827,0.0915122886466487
"1564",405,32.4041805199703,245.983826202403,-50.5802171860588,161,0.0510721661441595
"1565",406,13.6684816734099,727.199569083145,-36.9560881024477,956,0.774029957221106
"1566",406,22.0451102348842,644.279200824394,-31.4069663022637,553,0.105492896870239
"1567",406,19.4528934693695,200.288992974081,-35.115040501437,827,0.0811226932081339
"1568",406,15.6292775423875,90.1061851160044,-48.3612746542383,161,0.0367928017073849
"1569",407,13.142601310315,728.262009152952,-37.0073307065614,956,0.759077824702807
"1570",407,16.154281046308,453.566126615905,-31.0269809962608,554,0.113354329571422
"1571",407,18.1795191082013,184.423923801462,-35.4489096619029,827,0.0849235032621079
"1572",407,26.9541667026594,265.648227018081,-45.178422947357,272,0.0410608605775262
"1573",408,12.3575566245428,686.702379441725,-36.9882750764978,956,0.755455437338304
"1574",408,11.9716899440422,269.360827803639,-31.3903187447322,553,0.108686690305378
"1575",408,21.2561535382943,235.508295677736,-35.1686501988469,827,0.0891157341795612
"1576",408,18.6017812357512,97.6688253208467,-49.8101220534761,161,0.0432864371166286
"1577",409,12.600789984877,678.87044256667,-37.0506190255981,956,0.759367939494214
"1578",409,9.9737749557423,211.882121668419,-31.3533608406491,553,0.109047343716335
"1579",409,7.65339259226623,79.9403963085369,-34.8617506293634,827,0.0851638919690824
"1580",410,13.5504727846044,771.590008913272,-36.9169776838822,956,0.762003151345625
"1581",410,10.3295217319642,230.94791543574,-30.9340517981026,554,0.116973165200194
"1582",410,12.1838428695008,143.040666636994,-34.8344978183958,827,0.0908780607700811
"1583",410,10.2245055298164,95.3482813430209,-44.6366050900528,272,0.0240967427535682
"1584",411,11.4545983974855,643.385496638962,-36.9444496989785,956,0.772432319819584
"1585",411,16.9407923394013,503.923010243733,-31.940679247333,552,0.0924910727847886
"1586",411,11.6075173097181,118.799314173968,-34.7004992309644,827,0.0917945825180034
"1587",411,12.6967418845843,70.7697418783486,-46.7534055910576,272,0.0341006055288864
"1588",411,6.76115524845432,796.646620012945,-29.5159278830181,424,0.00311162001360355
"1589",412,11.4543200304882,644.023736668916,-36.9409129568914,956,0.764797268951908
"1590",412,13.0604503204554,388.412827944308,-31.1160437179239,554,0.096007670000723
"1591",412,14.1898913881947,140.319625680786,-37.1592676661325,605,0.103084996384973
"1592",412,38.1720395948908,203.867908477038,-46.7374027028905,272,0.0318809605027465
"1593",413,13.5068066710549,727.788055496771,-37.0047573039303,956,0.744364103392148
"1594",413,10.5758270069503,205.17883792662,-31.8651869205994,552,0.116828650686289
"1595",413,19.7449118235225,239.818658026293,-34.929175387112,827,0.0976665582909221
"1596",413,33.1262855425987,233.559076786406,-46.6029388034206,272,0.0373509249678613
"1597",414,13.3326663051939,751.832229470103,-36.9364458168084,956,0.738537699166075
"1598",414,14.2595486010279,371.358760184001,-31.2718920035345,553,0.131060916671234
"1599",414,21.9349224041902,210.910763456282,-35.4020667027034,827,0.0992907185575518
"1600",414,26.9301226156188,140.241011936684,-45.9696141003474,272,0.0297234128766646
"1601",415,12.2242379401261,655.88018826533,-36.9359490443449,956,0.782404386548761
"1602",415,10.5629675669573,231.432054271887,-31.2952431658715,553,0.0968428715176107
"1603",415,9.279323597815,88.1753275740216,-36.1235812678326,716,0.0899288476330907
"1604",415,19.1357569798469,112.090521146829,-45.9805296566918,272,0.0279801305604595
"1605",416,12.2270272837178,626.816845340272,-37.0246990368037,956,0.767714700392785
"1606",416,14.1518105182844,333.752544484162,-31.6853431065764,552,0.108705212154243
"1607",416,11.9340045676531,117.205383225692,-35.1132441211252,827,0.0861609602872207
"1608",416,17.3192369789074,99.5468340346108,-45.6071524542656,272,0.0323341723937741
"1609",417,14.2820724531936,796.544156394599,-36.9347770447545,956,0.766346262092644
"1610",417,14.7205000390329,413.606809217768,-30.8634867273563,554,0.109302294701751
"1611",417,10.3672232099698,105.74115115798,-35.187339079954,827,0.0828532468498002
"1612",417,16.0290816146204,81.0267275210266,-50.9029995707842,161,0.0409122148001606
"1613",418,12.7903329397675,729.119008742973,-37.0266024451729,956,0.764482369191518
"1614",418,16.4007303733642,464.210604217852,-31.1047779737102,554,0.0991073064334701
"1615",418,16.1908974099377,162.226104092751,-35.470286805182,827,0.0881753748161875
"1616",418,36.0425214286207,296.977372511564,-47.7085188878818,272,0.0414346657044207
"1617",419,11.8044376027054,674.991816582202,-36.9242215940459,956,0.755376608433918
"1618",419,9.95219699750694,249.457491142249,-31.0643240045209,554,0.118386586711466
"1619",419,13.1118557936003,115.15524134265,-35.9956445353276,716,0.0870980380837384
"1620",419,24.4792186424986,161.129817002877,-46.4095320162613,272,0.0345021440780723
"1621",420,12.8108700942697,741.559484314609,-36.9581435098828,956,0.75546977642179
"1622",420,11.1885242041361,271.196509310779,-31.2617011011965,553,0.108394536224441
"1623",420,19.4809425013281,182.334884902464,-35.6491389153269,827,0.0951184474829318
"1624",420,16.5040592621875,106.909007737303,-45.4736697016612,272,0.0347251703520273
"1625",421,11.6877208722047,617.710415898952,-37.0348044847021,956,0.776259738332306
