"","it","dim","N","pr","lh","prior"
"4001",4001,5,262.756695242224,0.00130551220172732,-8407.33327881074,-1723.26720661542
"4002",4002,5,208.361139432198,0.0025185017655223,-8405.43233752584,-1718.61038981775
"4003",4003,5,108.375200462504,0.00349432256816834,-8376.28482435673,-1746.1027656565
"4004",4004,5,175.29592779234,5.77557654803742e-05,-8403.13677350474,-1720.60223508557
"4005",4005,5,318.2576743452,0.000454761287120389,-8439.46292418018,-1684.87435298513
"4006",4006,5,266.667479040916,0.00183088437025068,-8428.11983401388,-1701.4056471362
"4007",4007,5,252.412162106254,0.00260439351501547,-8399.68113004212,-1724.56565062261
"4008",4008,5,276.627945456444,0.00262772905808622,-8406.97634120696,-1718.29621246905
"4009",4009,5,216.487724378195,0.0011181050301047,-8379.01296246371,-1748.86085737254
"4010",4010,5,322.689583089104,0.00320300582655152,-8377.87329974281,-1752.01168225922
"4011",4011,5,142.949892080805,0.000899203759281514,-8363.39370571844,-1767.94423982179
"4012",4012,5,228.119151958118,0.00303849257294572,-8435.85988235066,-1686.08090913802
"4013",4013,5,281.142420848321,0.000956872171385049,-8434.48730260632,-1694.28464474757
"4014",4014,5,171.935234610728,0.00098603172010073,-8401.95527909367,-1720.21007256441
"4015",4015,6,207.90899371362,0.000270390769035861,-8365.69446744779,-1765.5196364824
"4016",4016,6,190.689986108599,0.00498077997404263,-8321.85600197331,-1806.27545367451
"4017",4017,5,166.622472962548,0.00171003601734834,-8398.7881748644,-1731.93902877888
"4018",4018,5,236.985797496299,0.00282501749888192,-8378.4188676501,-1749.59904087957
"4019",4019,5,184.370085627175,0.00251896272572497,-8411.28530105472,-1719.3706586578
"4020",4020,5,323.904201873478,0.00395332119294949,-8380.09168628679,-1753.8207806725
"4021",4021,5,174.635526253506,0.00135921404054416,-8377.42195584475,-1747.68193661615
"4022",4022,5,267.300264313595,0.00207852766354542,-8403.42782472933,-1722.4498533059
"4023",4023,5,164.458739388132,0.00166214038437884,-8403.41302967153,-1728.55277192588
"4024",4024,5,267.518491088576,0.00230434685776969,-8407.69449384416,-1726.47866045679
"4025",4025,5,228.789323552026,0.00251179633192588,-8400.14346967168,-1724.44527660513
"4026",4026,5,245.470378072628,0.000158380483517296,-8378.86272666349,-1752.83214678423
"4027",4027,5,294.185878722014,0.000996023413625956,-8438.75988818669,-1689.20866329137
