R/theta	delta	nu
1.07864	641.272	0.0364427
1.13792	651.69	0.0366272
1.17145	662.319	0.0364371
1.13793	677.38	0.0363571
1.13038	663.354	0.0365141
1.15417	651.139	0.0364664
1.12514	663.82	0.0364592
1.16207	658.861	0.0362579
1.07571	650.068	0.0365677
1.10013	640.951	0.0365457
1.13511	684.479	0.0362601
1.08781	640.396	0.0364145
1.10343	642.589	0.0367768
1.14892	659.882	0.0363064
1.11387	665.383	0.0362011
1.13196	651.088	0.0366549
1.15586	669.767	0.0364618
1.1255	653.998	0.0364578
1.13275	649.848	0.0364749
1.15235	691.337	0.0364048
1.11444	649.661	0.036643
1.15176	638.709	0.0367222
1.14712	639.258	0.0364668
1.18987	658.784	0.0365221
1.18302	649.043	0.0363988
1.16791	682.659	0.0361989
1.15131	636.383	0.0365428
1.09917	663.545	0.0364277
1.12489	674.185	0.0364254
1.17529	649.525	0.0363074
1.22558	649.988	0.0362791
1.18326	681.436	0.036649
1.10106	662.81	0.0363226
1.14212	653.397	0.0365316
1.17111	642.008	0.0365377
1.14835	637.557	0.0367038
1.14046	660.008	0.0365845
1.12618	647.343	0.0364303
1.15637	680.646	0.0362862
1.22537	643.703	0.0364758
1.14264	640.818	0.0367889
1.08291	654.902	0.036305
1.12682	658.208	0.0365514
1.1183	661.393	0.0364847
1.12294	659.688	0.0365512
1.12885	653.089	0.0365862
1.07328	673.972	0.0366406
1.13871	662.502	0.0364575
1.11974	639.116	0.0367323
1.15016	675.471	0.0365244
1.16183	659.661	0.0364863
1.11979	665.613	0.0365134
1.1114	658.958	0.0366158
1.21854	650.76	0.0366561
1.12948	670.029	0.0366115
1.15342	640.223	0.0364615
1.14142	673.763	0.0364179
1.17145	663.182	0.0362189
1.14835	660.955	0.0365478
1.17929	670.974	0.0362415
1.11782	664.789	0.0363555
1.16381	636.267	0.0366201
1.14698	664.252	0.0364843
1.1595	631.885	0.036333
1.10323	676.222	0.0366775
1.19258	642.245	0.0364581
1.15754	648.284	0.036626
1.20814	633.561	0.0365216
1.14513	649.2	0.0366614
1.12131	663.553	0.0362617
1.09773	659.993	0.0364954
1.176	660.091	0.0364101
1.12102	662.651	0.036719
1.12609	631.655	0.0362745
1.10392	660.975	0.0366153
1.18073	672.259	0.0364174
1.11772	665.451	0.0368116
1.16694	663.933	0.0365797
1.13593	660.788	0.0363523
1.13265	651.646	0.0366427
1.18249	641.279	0.0363701
1.1398	663.76	0.0362557
1.13831	665.928	0.0362962
1.13289	645.27	0.036322
1.15463	645.676	0.0366538
1.10653	663.136	0.0365696
1.16122	671.005	0.0363201
1.14468	673.438	0.0365345
1.14639	665.92	0.036425
1.19507	657.29	0.0366195
1.17003	658.669	0.0364916
1.10742	659.86	0.0363191
1.14736	643.703	0.0365218
1.22233	672.844	0.0364432
1.12574	649.497	0.0362887
1.06688	662.575	0.0366563
1.11445	649.611	0.0364856
1.14522	668.035	0.0363675
1.14571	669.428	0.0366127
1.19332	653.988	0.0363368
