R/theta	delta	nu
0.851754	932.725	0.0311631
0.897467	908.176	0.0313837
0.887078	932.528	0.0312412
0.886212	937.69	0.0313466
0.884972	922.378	0.03112
0.86496	944.1	0.0313476
0.895101	908.387	0.0312474
0.874987	919.403	0.0312677
0.912517	917.89	0.0311792
0.857647	926.694	0.0312036
0.879174	928.232	0.031276
0.896614	930.956	0.0311428
0.879236	934.194	0.0312947
0.882907	921.456	0.0310803
0.880765	914.489	0.0312027
0.858622	930.987	0.031286
0.875539	923.999	0.0312224
0.876125	938.021	0.0313882
0.875823	929.076	0.0312559
0.860557	921.854	0.0313661
0.864748	906.054	0.0313742
0.880541	928.99	0.0313612
0.889891	925.197	0.0313049
0.87072	931.854	0.0313126
0.887506	924.682	0.0313814
0.881332	913.888	0.0312169
0.884813	929.009	0.0312095
0.88609	923.493	0.0311927
0.873069	936.471	0.0312722
0.896458	922.508	0.0312667
0.888112	933.579	0.0312772
0.906653	926.691	0.0312707
0.896739	932.155	0.031204
0.88995	939.339	0.0312557
0.867081	940.242	0.0312479
0.894688	922.267	0.0312174
0.887488	929.52	0.0311701
0.854987	925.335	0.0312052
0.885837	936.42	0.0312951
0.872335	915.974	0.0313138
0.90161	932.196	0.0313098
0.885532	917.755	0.0312602
0.880245	935.995	0.0311798
0.861117	926.517	0.0311299
0.885019	932.881	0.031281
0.901965	906.267	0.0313672
0.891815	926.008	0.031276
0.88679	928.983	0.0313322
0.881894	922.022	0.0311792
0.887556	942.248	0.0312006
0.880456	924.955	0.0311802
0.886209	939.576	0.0313327
0.893808	938.253	0.0313194
0.888118	918.155	0.0312903
0.889008	915.297	0.0312404
0.887112	921.56	0.031223
0.864656	925.877	0.0312911
0.86279	919.414	0.031219
0.86859	923.413	0.0312635
0.885797	918.265	0.0311288
0.888017	937.178	0.0313846
0.892303	931.535	0.0312848
0.865888	932.166	0.0312941
0.894746	938.011	0.0312685
0.876558	938.525	0.0312152
0.86915	949.276	0.0313377
0.881442	918.665	0.0312474
0.878781	944.266	0.0313387
0.84792	943.495	0.0313179
0.876563	934.907	0.0312446
0.885864	926.529	0.031358
0.882478	904.317	0.0313948
0.872247	916.048	0.0313515
0.880111	943.601	0.0312271
0.885904	939.188	0.0312189
0.866778	930.973	0.031309
0.861435	934.297	0.0312718
0.882037	929.123	0.0311755
0.871647	923.89	0.0313787
0.876549	922.481	0.031218
0.877908	931.81	0.0312637
0.858062	903.11	0.0312915
0.884248	930.699	0.0313177
0.879416	922.038	0.0312726
0.869252	930.348	0.0311266
0.887811	923.691	0.0312275
0.901014	930.499	0.0312419
0.871108	939.877	0.0312012
0.868043	922.65	0.0313257
0.866745	916.457	0.0312645
0.860598	935.008	0.0311715
0.877138	928.731	0.0312578
0.851273	937.546	0.0311311
0.885521	911.33	0.0313498
0.881097	933.732	0.0312634
0.900664	935.146	0.0313374
0.883061	930.735	0.0311097
0.875583	922.654	0.0313415
0.879647	922.453	0.0311867
0.88593	906.586	0.0312262
