Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.918926	6.79203e-05	12432.6	13529.5
1/delta	0.0011781	1.11656e-10	12430.3	1.05511e+07
nu	0.0317046	3.00513e-09	334488	1.05501e+07
NMI9479	6.92151e-06	4.47519e-12	10.7051	1.54664e+06
NMI0428	4.81624e-06	3.09563e-12	7.4932	1.55582e+06
NMI96229	1.26495e-06	8.12908e-13	1.96836	1.55608e+06
NMI96167	1.97662e-06	1.27215e-12	3.07118	1.55376e+06
NMI97241	6.00933e-06	3.8779e-12	9.31229	1.54964e+06
NMI97378	1.26495e-06	8.12911e-13	1.96837	1.55608e+06
NMI9993	6.42668e-07	4.13022e-13	1	1.55602e+06
NMI96263	7.76627e-06	5.06729e-12	11.9028	1.53263e+06
NMI00107	1.26877e-06	8.17601e-13	1.96892	1.55183e+06
NMI0048	2.51958e-06	1.62539e-12	3.90572	1.55014e+06
NMI99233	2.5104e-06	1.61336e-12	3.90619	1.55601e+06
NMI99109	2.00304e-06	1.29399e-12	3.10061	1.54796e+06
NMI0122	1.04345e-05	6.73421e-12	16.168	1.54948e+06
NMI03137	6.42789e-07	4.1313e-13	1.00012	1.5559e+06
NMI0385	1.26549e-06	8.13289e-13	1.96912	1.55601e+06
NMI01198	5.21508e-06	3.35438e-12	8.10794	1.55471e+06
NMI0311	6.48826e-07	4.17043e-13	1.00943	1.55578e+06
NMI9463	1.26629e-06	8.14067e-13	1.96973	1.55551e+06
NMI95143	2.36747e-05	1.52153e-11	36.8372	1.55597e+06
NMI0863	1.77317e-05	1.14396e-11	27.4846	1.55003e+06
NMI98273	3.13261e-06	2.01324e-12	4.87436	1.556e+06
NMI098	2.32123e-05	1.50791e-11	35.7324	1.53937e+06
NMI00177	8.2589e-06	5.34246e-12	12.7674	1.5459e+06
NMI0099	1.88786e-06	1.21322e-12	2.93766	1.55608e+06
NMI9629	1.26517e-06	8.13084e-13	1.96862	1.55601e+06
NMI01207	1.26533e-06	8.13155e-13	1.96896	1.55608e+06
NMI03255	1.06388e-05	6.85319e-12	16.5154	1.55238e+06
NMI9848	6.43533e-07	4.14041e-13	1.00023	1.55427e+06
NMI9299	6.42668e-07	4.13022e-13	1	1.55602e+06
NMI9746	1.26515e-06	8.13074e-13	1.96859	1.55601e+06
NMI0323	3.75527e-06	2.41331e-12	5.84345	1.55607e+06
NMI02112	8.73503e-06	5.61361e-12	13.5921	1.55604e+06
NMI9652	6.45498e-07	4.16597e-13	1.00017	1.54945e+06
