R/theta	delta	nu
0.902354	846.277	0.0318515
0.901975	838.512	0.0317517
0.935634	834.965	0.0317692
0.917935	852.441	0.0316418
0.899963	846.375	0.0318284
0.92853	851.656	0.0316884
0.911655	842.767	0.0317624
0.92538	835.5	0.0316455
0.94729	840.766	0.0316735
0.934944	850.168	0.0317195
0.931569	859.938	0.0317395
0.911712	854.31	0.031689
0.911974	867.6	0.0316998
0.911536	842.835	0.0316378
0.929925	844.5	0.0317459
0.929903	847.401	0.0316862
0.902709	850.509	0.0317607
0.91033	841.882	0.0316848
0.944304	858.761	0.0317493
0.902487	839.448	0.0317282
0.911095	863.111	0.0316993
0.924573	842.381	0.0317799
0.914398	842.431	0.0317785
0.934272	850.83	0.0317314
0.905386	854.411	0.0318489
0.926761	844.265	0.0316436
0.910747	824.257	0.0316983
0.916532	846.297	0.0316338
0.935808	840.264	0.0316737
0.918737	842.409	0.0317184
0.888048	863.148	0.0316191
0.935296	842	0.031585
0.943553	838.782	0.0317643
0.923791	859.716	0.0316944
0.926816	828.604	0.0317638
0.920891	843.942	0.0317576
0.915087	859.833	0.0316418
0.94097	843.291	0.0316119
0.896559	855.544	0.0317061
0.895803	851.429	0.0316572
0.933176	843.488	0.0317258
0.902401	851.358	0.0317135
0.913475	859.372	0.0317454
0.918396	841.268	0.0318557
0.917761	839.128	0.0317421
0.912104	865.131	0.0317073
0.926185	856.63	0.0316754
0.893263	856.671	0.0316985
0.911157	833.473	0.031766
0.894655	843.839	0.0316815
0.909382	839.147	0.0316695
0.917188	851.439	0.0317938
0.91422	842.117	0.031572
0.899924	857.4	0.0317516
0.956132	851.16	0.0317912
0.902922	829.118	0.0317911
0.919068	843.212	0.031683
0.917034	839.995	0.0317056
0.898929	846.204	0.0318581
0.896279	842.74	0.0317122
0.931794	839.36	0.0317311
0.922643	859.813	0.0317006
0.898635	854.157	0.0316882
0.911659	847.181	0.0316875
0.90934	859.102	0.0317306
0.960656	844.197	0.031611
0.93722	838.575	0.0317623
0.897831	859.391	0.0315971
0.913123	845.921	0.0316062
0.905271	840.558	0.0317071
0.912378	852.133	0.0316433
0.93265	855.185	0.0316619
0.93231	859.552	0.0316743
0.917523	847.884	0.031706
0.925691	834.807	0.0317856
0.898769	849.317	0.0317154
0.931736	855.52	0.0317102
0.925837	839.352	0.0316306
0.908369	839.857	0.0317797
0.887559	852.899	0.0316286
0.92696	844.897	0.0316974
0.931093	840.453	0.0317205
0.900964	855.773	0.0317948
0.902599	860.522	0.0317116
0.940581	841.928	0.0317678
0.929415	850.07	0.0315889
0.916748	849.071	0.0317422
0.924579	841.929	0.0317343
0.908841	853.48	0.0315283
0.937602	848.245	0.0318172
0.924763	854.166	0.031733
0.921388	854.833	0.0317455
0.910765	859.396	0.0316317
0.900697	845.484	0.0316958
0.92069	833.083	0.0316411
0.907098	835.953	0.0316494
0.938804	847.345	0.0316912
0.937769	849.652	0.0317188
0.916864	849.732	0.0316622
0.909979	870.022	0.0316877
