Maximum a posteriori non parametric moving average phylodynamic model
Effective population size bins: 360 
Effective population size at last iteration:
          Time         Ne
1    0.1355837  233.35408
2    0.2711673  250.89815
3    0.4067510  269.75142
4    0.5423347  290.04272
5    0.6779184  311.76526
6    0.8135020  335.14469
7    0.9490857  360.00432
8    1.0846694  386.50842
9    1.2202531  414.69020
10   1.3558367  444.67798
11   1.4914204  476.54717
12   1.6270041  510.19124
13   1.7625878  546.13133
14   1.8981714  583.98730
15   2.0337551  623.93168
16   2.1693388  665.74043
17   2.3049225  709.32138
18   2.4405061  754.55049
19   2.5760898  800.80344
20   2.7116735  847.98664
21   2.8472572  895.99798
22   2.9828408  944.44208
23   3.1184245  993.06006
24   3.2540082 1041.58559
25   3.3895919 1089.49283
26   3.5251755 1136.18555
27   3.6607592 1181.24320
28   3.7963429 1223.73644
29   3.9319266 1262.81383
30   4.0675102 1297.44186
31   4.2030939 1327.71719
32   4.3386776 1353.51830
33   4.4742613 1374.06429
34   4.6098449 1389.12880
35   4.7454286 1398.24312
36   4.8810123 1400.88538
37   5.0165960 1397.51672
38   5.1521796 1387.25682
39   5.2877633 1370.02910
40   5.4233470 1346.22870
41   5.5589307 1315.61975
42   5.6945143 1278.79210
43   5.8300980 1236.35683
44   5.9656817 1189.32777
45   6.1012654 1138.13722
46   6.2368490 1084.19957
47   6.3724327 1027.75520
48   6.5080164  969.80117
49   6.6436001  911.05045
50   6.7791837  851.71784
51   6.9147674  792.95127
52   7.0503511  735.11558
53   7.1859348  679.14162
54   7.3215184  625.26530
55   7.4571021  573.60975
56   7.5926858  524.16089
57   7.7282695  477.44020
58   7.8638531  433.79587
59   7.9994368  393.01304
60   8.1350205  355.19985
61   8.2706042  320.56160
62   8.4061878  288.74285
63   8.5417715  259.64683
64   8.6773552  233.30910
65   8.8129389  209.46834
66   8.9485225  187.99941
67   9.0841062  168.81530
68   9.2196899  151.60041
69   9.3552736  136.21988
70   9.4908572  122.54153
71   9.6264409  110.36990
72   9.7620246   99.59041
73   9.8976083   90.02542
74  10.0331919   81.61883
75  10.1687756   74.17665
76  10.3043593   67.58958
77  10.4399430   61.77415
78  10.5755266   56.62987
79  10.7111103   52.08459
80  10.8466940   48.05634
81  10.9822777   44.52398
82  11.1178613   41.42356
83  11.2534450   38.71016
84  11.3890287   36.34641
85  11.5246124   34.26277
86  11.6601960   32.43734
87  11.7957797   30.84073
88  11.9313634   29.45580
89  12.0669471   28.23742
90  12.2025307   27.17370
91  12.3381144   26.26269
92  12.4736981   25.48646
93  12.6092818   24.84610
94  12.7448654   24.31380
95  12.8804491   23.89945
96  13.0160328   23.59145
97  13.1516165   23.38584
98  13.2872001   23.27443
99  13.4227838   23.25428
100 13.5583675   23.32621
101 13.6939512   23.49146
102 13.8295348   23.73552
103 13.9651185   24.07567
104 14.1007022   24.49203
105 14.2362859   24.99902
106 14.3718695   25.59527
107 14.5074532   26.27003
108 14.6430369   27.02955
109 14.7786206   27.88975
110 14.9142042   28.85375
111 15.0497879   29.90693
112 15.1853716   31.07413
113 15.3209553   32.35347
114 15.4565389   33.73650
115 15.5921226   35.22681
116 15.7277063   36.84562
117 15.8632900   38.58667
118 15.9988736   40.44859
119 16.1344573   42.46016
120 16.2700410   44.63298
121 16.4056247   46.95975
122 16.5412083   49.44807
123 16.6767920   52.11318
124 16.8123757   54.96463
125 16.9479594   57.95553
126 17.0835430   61.12017
127 17.2191267   64.44568
128 17.3547104   67.94740
129 17.4902941   71.65200
130 17.6258777   75.55959
131 17.7614614   79.68689
132 17.8970451   84.05818
133 18.0326288   88.72442
134 18.1682124   93.64015
135 18.3037961   98.83881
136 18.4393798  104.28195
137 18.5749635  109.95667
138 18.7105471  115.88611
139 18.8461308  122.06177
140 18.9817145  128.56857
141 19.1172982  135.36690
142 19.2528818  142.53472
143 19.3884655  149.92360
144 19.5240492  157.61586
145 19.6596329  165.62097
146 19.7952165  173.91357
147 19.9308002  182.59485
148 20.0663839  191.51417
149 20.2019676  200.71848
150 20.3375512  210.14202
151 20.4731349  219.82118
152 20.6087186  229.71976
153 20.7443023  239.95036
154 20.8798859  250.40222
155 21.0154696  261.05046
156 21.1510533  272.04721
157 21.2866370  283.20075
158 21.4222206  294.61097
159 21.5578043  306.06985
160 21.6933880  317.78749
161 21.8289717  329.66916
162 21.9645553  341.62640
163 22.1001390  353.62864
164 22.2357227  365.72817
165 22.3713064  377.81089
166 22.5068900  389.92235
167 22.6424737  402.27616
168 22.7780574  414.61403
169 22.9136411  427.13436
170 23.0492247  439.72220
171 23.1848084  452.48030
172 23.3203921  465.11349
173 23.4559758  477.65352
174 23.5915594  490.03356
175 23.7271431  502.08800
176 23.8627268  513.62618
177 23.9983105  524.66328
178 24.1338941  535.42612
179 24.2694778  545.82866
180 24.4050615  555.91938
181 24.5406452  565.73572
182 24.6762288  575.41867
183 24.8118125  584.82499
184 24.9473962  594.11380
185 25.0829799  603.14661
186 25.2185635  611.91307
187 25.3541472  620.39597
188 25.4897309  628.73696
189 25.6253146  636.94790
190 25.7608982  644.96468
191 25.8964819  652.78887
192 26.0320656  660.52813
193 26.1676493  668.13666
194 26.3032329  675.68704
195 26.4388166  682.90386
196 26.5744003  690.01995
197 26.7099840  696.48375
198 26.8455676  702.48281
