Bayesian non parametric moving average phylodynamic model
Effective population size bins: 360 
Iterations: 360 
Effective population size at last iteration:
           Time       Ne
1   -48.8101230 1740.328
2   -48.6745393 1740.328
3   -48.5389556 1740.328
4   -48.4033720 1766.580
5   -48.2677883 1766.580
6   -48.1322046 1766.580
7   -47.9966209 1766.580
8   -47.8610373 1744.292
9   -47.7254536 1808.319
10  -47.5898699 1860.074
11  -47.4542862 1889.128
12  -47.3187026 1830.277
13  -47.1831189 1830.277
14  -47.0475352 1894.251
15  -46.9119515 1908.663
16  -46.7763679 1908.663
17  -46.6407842 1907.912
18  -46.5052005 1907.912
19  -46.3696168 1881.193
20  -46.2340332 1881.193
21  -46.0984495 1881.193
22  -45.9628658 1888.463
23  -45.8272821 1888.463
24  -45.6916985 1888.463
25  -45.5561148 1888.463
26  -45.4205311 1940.700
27  -45.2849474 1941.667
28  -45.1493638 1941.667
29  -45.0137801 1941.667
30  -44.8781964 1908.630
31  -44.7426127 1901.585
32  -44.6070291 1901.585
33  -44.4714454 1894.348
34  -44.3358617 1894.348
35  -44.2002780 1894.348
36  -44.0646944 1887.687
37  -43.9291107 1916.713
38  -43.7935270 1922.445
39  -43.6579433 1922.445
40  -43.5223597 1926.533
41  -43.3867760 1926.533
42  -43.2511923 1941.885
43  -43.1156086 1918.847
44  -42.9800250 1961.052
45  -42.8444413 1961.052
46  -42.7088576 1961.052
47  -42.5732739 1963.934
48  -42.4376903 1963.934
49  -42.3021066 1999.448
50  -42.1665229 1999.448
51  -42.0309392 1999.448
52  -41.8953556 2000.241
53  -41.7597719 1938.814
54  -41.6241882 2006.782
55  -41.4886045 1924.188
56  -41.3530209 1924.188
57  -41.2174372 1892.890
58  -41.0818535 1889.145
59  -40.9462698 1889.145
60  -40.8106862 1889.145
61  -40.6751025 1871.735
62  -40.5395188 1889.811
63  -40.4039351 1889.811
64  -40.2683515 1994.602
65  -40.1327678 1924.547
66  -39.9971841 1911.950
67  -39.8616004 1911.950
68  -39.7260168 1912.292
69  -39.5904331 1912.292
70  -39.4548494 1943.851
71  -39.3192657 1943.851
72  -39.1836821 1931.200
73  -39.0480984 1931.200
74  -38.9125147 1931.200
75  -38.7769310 1931.200
76  -38.6413474 1993.108
77  -38.5057637 2021.670
78  -38.3701800 1885.604
79  -38.2345963 1982.925
80  -38.0990127 1963.257
81  -37.9634290 1965.052
82  -37.8278453 1965.052
83  -37.6922616 1965.052
84  -37.5566780 1921.104
85  -37.4210943 1932.824
86  -37.2855106 1932.824
87  -37.1499269 1932.824
88  -37.0143433 1932.824
89  -36.8787596 1996.863
90  -36.7431759 1996.863
91  -36.6075922 1870.526
92  -36.4720086 1957.838
93  -36.3364249 1957.838
94  -36.2008412 1955.043
95  -36.0652575 1955.043
96  -35.9296739 1989.978
97  -35.7940902 1989.978
98  -35.6585065 1989.978
99  -35.5229228 1940.614
100 -35.3873392 2039.722
101 -35.2517555 2036.294
102 -35.1161718 2020.544
103 -34.9805881 2020.544
104 -34.8450045 2043.855
105 -34.7094208 1927.896
106 -34.5738371 1955.035
107 -34.4382534 1987.683
108 -34.3026698 1987.683
109 -34.1670861 2009.070
110 -34.0315024 1978.829
111 -33.8959187 1974.705
112 -33.7603351 1974.705
113 -33.6247514 1958.058
114 -33.4891677 1958.058
115 -33.3535840 1958.058
116 -33.2180004 1958.058
117 -33.0824167 1947.589
118 -32.9468330 1947.589
119 -32.8112493 1981.793
120 -32.6756657 1981.793
121 -32.5400820 1981.793
122 -32.4044983 1981.793
123 -32.2689146 1981.793
124 -32.1333310 1981.793
125 -31.9977473 1948.595
126 -31.8621636 1948.595
127 -31.7265799 1999.508
128 -31.5909963 1999.508
129 -31.4554126 1911.398
130 -31.3198289 1975.378
131 -31.1842452 1975.378
132 -31.0486616 2005.043
133 -30.9130779 1942.436
134 -30.7774942 1898.169
135 -30.6419105 1898.169
136 -30.5063269 1898.169
137 -30.3707432 1898.169
138 -30.2351595 1953.725
139 -30.0995758 1960.027
140 -29.9639922 1960.027
141 -29.8284085 1960.027
142 -29.6928248 1960.027
143 -29.5572411 1943.315
144 -29.4216575 1867.551
145 -29.2860738 1786.389
146 -29.1504901 1871.178
147 -29.0149064 1749.952
148 -28.8793228 1753.288
149 -28.7437391 1815.678
150 -28.6081554 1754.706
151 -28.4725717 1754.706
152 -28.3369881 1927.436
153 -28.2014044 1927.436
154 -28.0658207 1892.170
155 -27.9302370 1983.155
156 -27.7946534 1931.708
157 -27.6590697 1931.708
158 -27.5234860 2002.261
159 -27.3879023 2002.261
160 -27.2523187 1936.217
161 -27.1167350 1919.717
162 -26.9811513 1919.717
163 -26.8455676 1919.717
164 -26.7099840 1956.234
165 -26.5744003 1954.893
166 -26.4388166 1918.978
167 -26.3032329 1886.732
168 -26.1676493 1886.732
169 -26.0320656 1884.669
170 -25.8964819 1884.669
171 -25.7608982 1914.251
172 -25.6253146 1881.854
173 -25.4897309 1881.854
174 -25.3541472 1881.854
175 -25.2185635 1881.854
176 -25.0829799 1881.854
177 -24.9473962 1866.383
178 -24.8118125 1866.383
179 -24.6762288 1866.383
180 -24.5406452 1838.338
181 -24.4050615 1838.338
182 -24.2694778 1838.338
183 -24.1338941 1901.016
184 -23.9983105 1901.016
185 -23.8627268 1901.016
186 -23.7271431 1907.734
187 -23.5915594 1907.734
188 -23.4559758 1907.734
189 -23.3203921 1907.734
190 -23.1848084 1822.604
191 -23.0492247 1837.105
192 -22.9136411 1915.479
193 -22.7780574 1877.910
194 -22.6424737 1877.910
195 -22.5068900 1881.704
196 -22.3713064 1877.664
197 -22.2357227 1877.664
198 -22.1001390 1877.664
199 -21.9645553 1886.550
200 -21.8289717 1970.945
201 -21.6933880 1970.945
202 -21.5578043 2011.624
203 -21.4222206 2045.739
204 -21.2866370 2107.580
205 -21.1510533 2077.605
206 -21.0154696 2077.605
207 -20.8798859 2070.976
208 -20.7443023 2070.976
209 -20.6087186 2060.792
210 -20.4731349 2060.792
211 -20.3375512 2060.792
212 -20.2019676 2060.792
213 -20.0663839 2060.792
214 -19.9308002 2029.297
215 -19.7952165 2029.297
216 -19.6596329 2029.297
217 -19.5240492 2029.297
218 -19.3884655 2045.671
219 -19.2528818 2045.671
220 -19.1172982 2045.671
221 -18.9817145 2006.398
222 -18.8461308 2043.676
223 -18.7105471 1971.523
224 -18.5749635 1971.523
225 -18.4393798 2022.605
226 -18.3037961 2022.605
227 -18.1682124 2022.605
228 -18.0326288 2011.666
229 -17.8970451 1953.042
230 -17.7614614 1953.042
231 -17.6258777 1953.042
232 -17.4902941 1953.042
233 -17.3547104 1953.042
234 -17.2191267 1992.489
235 -17.0835430 1921.120
236 -16.9479594 1929.049
237 -16.8123757 1940.407
238 -16.6767920 2008.312
239 -16.5412083 2008.312
240 -16.4056247 2015.287
241 -16.2700410 2045.641
242 -16.1344573 2157.410
243 -15.9988736 2155.074
244 -15.8632900 2098.743
245 -15.7277063 2088.557
246 -15.5921226 2128.549
247 -15.4565389 2139.569
248 -15.3209553 2222.557
249 -15.1853716 2118.202
250 -15.0497879 2074.291
251 -14.9142042 2137.524
252 -14.7786206 2137.524
253 -14.6430369 2111.292
254 -14.5074532 2036.548
255 -14.3718695 2082.114
256 -14.2362859 2082.114
257 -14.1007022 1994.568
258 -13.9651185 2088.785
259 -13.8295348 2071.984
260 -13.6939512 2033.348
261 -13.5583675 2033.348
262 -13.4227838 2033.348
263 -13.2872001 2033.348
264 -13.1516165 2033.348
265 -13.0160328 2033.348
266 -12.8804491 2170.643
267 -12.7448654 2194.663
268 -12.6092818 2083.452
269 -12.4736981 2083.452
270 -12.3381144 2083.452
271 -12.2025307 2068.504
272 -12.0669471 2071.893
273 -11.9313634 2071.893
274 -11.7957797 2170.513
275 -11.6601960 2181.026
276 -11.5246124 2172.694
277 -11.3890287 2233.572
278 -11.2534450 2155.304
279 -11.1178613 2155.304
280 -10.9822777 2203.986
281 -10.8466940 2203.986
282 -10.7111103 2203.986
283 -10.5755266 2167.424
284 -10.4399430 2161.136
285 -10.3043593 2161.136
286 -10.1687756 2161.136
287 -10.0331919 2161.136
288  -9.8976083 2035.043
289  -9.7620246 2035.043
290  -9.6264409 2179.817
291  -9.4908572 2046.773
292  -9.3552736 1978.774
293  -9.2196899 1978.774
294  -9.0841062 1957.730
295  -8.9485225 1957.730
296  -8.8129389 1941.963
297  -8.6773552 1941.963
298  -8.5417715 1969.501
299  -8.4061878 1949.194
300  -8.2706042 1949.194
301  -8.1350205 1955.083
302  -7.9994368 1955.083
303  -7.8638531 1955.083
304  -7.7282695 1949.884
305  -7.5926858 1955.678
306  -7.4571021 1955.678
307  -7.3215184 1931.249
308  -7.1859348 1931.249
309  -7.0503511 1901.627
310  -6.9147674 1944.566
311  -6.7791837 1900.211
312  -6.6436001 1950.375
313  -6.5080164 1889.343
314  -6.3724327 1815.059
315  -6.2368490 1945.172
316  -6.1012654 1945.172
317  -5.9656817 1920.030
318  -5.8300980 1920.030
319  -5.6945143 1861.857
320  -5.5589307 1861.857
321  -5.4233470 1866.537
322  -5.2877633 1849.418
323  -5.1521796 1863.870
324  -5.0165960 1844.530
325  -4.8810123 1844.530
326  -4.7454286 1846.384
327  -4.6098449 1894.099
328  -4.4742613 1842.218
329  -4.3386776 1849.914
330  -4.2030939 1862.682
331  -4.0675102 1862.682
332  -3.9319266 1855.221
333  -3.7963429 1871.045
334  -3.6607592 1834.209
335  -3.5251755 1834.209
336  -3.3895919 1780.591
337  -3.2540082 1780.591
338  -3.1184245 1780.253
339  -2.9828408 1785.713
340  -2.8472572 1785.713
341  -2.7116735 1785.713
342  -2.5760898 1785.713
343  -2.4405061 1785.713
344  -2.3049225 1785.713
345  -2.1693388 1780.408
346  -2.0337551 1822.871
347  -1.8981714 1822.871
348  -1.7625878 1822.871
349  -1.6270041 1822.871
350  -1.4914204 1796.731
351  -1.3558367 1796.731
352  -1.2202531 1865.170
353  -1.0846694 1865.170
354  -0.9490857 1865.170
355  -0.8135020 1770.526
356  -0.6779184 1813.720
357  -0.5423347 1795.564
358  -0.4067510 1795.564
359  -0.2711673 1786.298
360  -0.1355837 1803.488
