Maximum a posteriori non parametric moving average phylodynamic model
Effective population size bins: 360 
Effective population size at last iteration:
          Time         Ne
1    0.1165483   96.15739
2    0.2330966   92.29216
3    0.3496449   88.59285
4    0.4661932   85.04881
5    0.5827415   81.67321
6    0.6992899   78.45178
7    0.8158382   75.38614
8    0.9323865   72.43844
9    1.0489348   69.62406
10   1.1654831   66.91580
11   1.2820314   64.32508
12   1.3985797   61.85140
13   1.5151280   59.48005
14   1.6316763   57.20611
15   1.7482246   55.01964
16   1.8647729   52.93394
17   1.9813213   50.96262
18   2.0978696   49.08366
19   2.2144179   47.29512
20   2.3309662   45.59826
21   2.4475145   43.99368
22   2.5640628   42.47009
23   2.6806111   41.03432
24   2.7971594   39.65906
25   2.9137077   38.35923
26   3.0302560   37.11961
27   3.1468043   35.95009
28   3.2633527   34.83766
29   3.3799010   33.78812
30   3.4964493   32.80356
31   3.6129976   31.88072
32   3.7295459   31.01121
33   3.8460942   30.19781
34   3.9626425   29.44339
35   4.0791908   28.74654
36   4.1957391   28.10205
37   4.3122874   27.50737
38   4.4288358   26.96198
39   4.5453841   26.46437
40   4.6619324   26.01860
41   4.7784807   25.61914
42   4.8950290   25.26312
43   5.0115773   24.95021
44   5.1281256   24.68231
45   5.2446739   24.46529
46   5.3612222   24.29812
47   5.4777705   24.18265
48   5.5943188   24.11345
49   5.7108672   24.09240
50   5.8274155   24.12406
51   5.9439638   24.21176
52   6.0605121   24.34840
53   6.1770604   24.53499
54   6.2936087   24.77890
55   6.4101570   25.07008
56   6.5267053   25.41122
57   6.6432536   25.80039
58   6.7598019   26.24808
59   6.8763502   26.75527
60   6.9928986   27.32290
61   7.1094469   27.95610
62   7.2259952   28.65754
63   7.3425435   29.44044
64   7.4590918   30.30101
65   7.5756401   31.24907
66   7.6921884   32.27812
67   7.8087367   33.40012
68   7.9252850   34.60866
69   8.0418333   35.92471
70   8.1583816   37.34682
71   8.2749300   38.88116
72   8.3914783   40.51476
73   8.5080266   42.26723
74   8.6245749   44.12922
75   8.7411232   46.12892
76   8.8576715   48.27467
77   8.9742198   50.58748
78   9.0907681   53.04634
79   9.2073164   55.67007
80   9.3238647   58.47467
81   9.4404130   61.46216
82   9.5569614   64.64094
83   9.6735097   68.00359
84   9.7900580   71.54089
85   9.9066063   75.28442
86  10.0231546   79.20582
87  10.1397029   83.31676
88  10.2562512   87.61986
89  10.3727995   92.13123
90  10.4893478   96.83382
91  10.6058961  101.75261
92  10.7224444  106.86201
93  10.8389928  112.19487
94  10.9555411  117.76679
95  11.0720894  123.52386
96  11.1886377  129.50800
97  11.3051860  135.63123
98  11.4217343  141.99912
99  11.5382826  148.53209
100 11.6548309  155.30107
101 11.7713792  162.21444
102 11.8879275  169.32953
103 12.0044759  176.55743
104 12.1210242  184.00573
105 12.2375725  191.66015
106 12.3541208  199.42520
107 12.4706691  207.38172
108 12.5872174  215.43319
109 12.7037657  223.64192
110 12.8203140  231.95823
111 12.9368623  240.37070
112 13.0534106  248.88761
113 13.1699589  257.47514
114 13.2865073  266.11612
115 13.4030556  274.77492
116 13.5196039  283.47445
117 13.6361522  292.23776
118 13.7527005  300.93797
119 13.8692488  309.70483
120 13.9857971  318.50903
121 14.1023454  327.32525
122 14.2188937  336.18542
123 14.3354420  345.06500
124 14.4519903  353.98752
125 14.5685387  362.88007
126 14.6850870  371.77356
127 14.8016353  380.81532
128 14.9181836  389.91633
129 15.0347319  399.12878
130 15.1512802  408.37873
131 15.2678285  417.65628
132 15.3843768  427.08651
133 15.5009251  436.68020
