Bayesian non parametric moving average phylodynamic model
Effective population size bins: 360 
Iterations: 360 
Effective population size at last iteration:
           Time       Ne
1   -41.9573913 556.0191
2   -41.8408430 556.0191
3   -41.7242947 542.0125
4   -41.6077464 523.6549
5   -41.4911981 545.1985
6   -41.3746498 540.2707
7   -41.2581015 540.2707
8   -41.1415532 552.2092
9   -41.0250049 558.9324
10  -40.9084565 567.7859
11  -40.7919082 558.7940
12  -40.6753599 565.1850
13  -40.5588116 565.1850
14  -40.4422633 565.1850
15  -40.3257150 560.5051
16  -40.2091667 561.7915
17  -40.0926184 566.3595
18  -39.9760701 549.5009
19  -39.8595218 554.2255
20  -39.7429735 560.1783
21  -39.6264251 574.5259
22  -39.5098768 574.5259
23  -39.3933285 574.5259
24  -39.2767802 575.5554
25  -39.1602319 573.4819
26  -39.0436836 599.3351
27  -38.9271353 599.3351
28  -38.8105870 599.4677
29  -38.6940387 599.4677
30  -38.5774904 607.8560
31  -38.4609420 619.2969
32  -38.3443937 625.0746
33  -38.2278454 623.4889
34  -38.1112971 612.9783
35  -37.9947488 629.1754
36  -37.8782005 614.5962
37  -37.7616522 614.5962
38  -37.6451039 590.9317
39  -37.5285556 587.7944
40  -37.4120073 608.7778
41  -37.2954590 569.3991
42  -37.1789106 603.0215
43  -37.0623623 589.0940
44  -36.9458140 642.7356
45  -36.8292657 588.4594
46  -36.7127174 595.5465
47  -36.5961691 593.4892
48  -36.4796208 593.4892
49  -36.3630725 598.3137
50  -36.2465242 604.9398
51  -36.1299759 574.4911
52  -36.0134276 559.4123
53  -35.8968792 567.0602
54  -35.7803309 568.8131
55  -35.6637826 560.4878
56  -35.5472343 560.4878
57  -35.4306860 560.4878
58  -35.3141377 542.4446
59  -35.1975894 538.1089
60  -35.0810411 552.1685
61  -34.9644928 555.3925
62  -34.8479445 570.0251
63  -34.7313962 561.7734
64  -34.6148478 544.4916
65  -34.4982995 557.5754
66  -34.3817512 566.9135
67  -34.2652029 566.9135
68  -34.1486546 557.8339
69  -34.0321063 582.8971
70  -33.9155580 582.8971
71  -33.7990097 556.9111
72  -33.6824614 554.4043
73  -33.5659131 534.3737
74  -33.4493648 562.6178
75  -33.3328164 543.9388
76  -33.2162681 556.3098
77  -33.0997198 556.3098
78  -32.9831715 549.4051
79  -32.8666232 536.9040
80  -32.7500749 537.1566
81  -32.6335266 546.1205
82  -32.5169783 539.3271
83  -32.4004300 560.8158
84  -32.2838817 560.8158
85  -32.1673333 553.5541
86  -32.0507850 551.3652
87  -31.9342367 551.3652
