Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	1.13941	0.000369014	3518.17	3087.71
1/delta	0.00152269	6.59177e-10	3517.38	2.30998e+06
nu	0.0364844	1.5801e-08	84242.2	2.30899e+06
NMI9455	3.58764e-05	1.98076e-11	64.9807	1.81124e+06
NMI0945	9.69308e-06	5.15191e-12	18.2371	1.88145e+06
NMI96114	3.07384e-06	1.63367e-12	5.7836	1.88155e+06
NMI02240	6.65453e-06	3.54278e-12	12.4994	1.87834e+06
NMI99247	1.54728e-05	8.25843e-12	28.9896	1.87358e+06
NMI01222	2.59852e-06	1.38284e-12	4.88294	1.87912e+06
NMI96303	2.56595e-06	1.36374e-12	4.82798	1.88156e+06
NMI9328	5.00302e-05	2.76476e-11	90.5329	1.80957e+06
NMI0670	4.10149e-06	2.1846e-12	7.70035	1.87745e+06
NMI00168	2.59117e-06	1.37874e-12	4.86979	1.87937e+06
NMI95244	2.56698e-06	1.36429e-12	4.82992	1.88156e+06
NMI9851	1.04006e-06	5.52762e-13	1.95694	1.88157e+06
NMI05106	2.56611e-06	1.36383e-12	4.82829	1.88156e+06
NMI04129	5.62309e-06	2.99049e-12	10.5733	1.88033e+06
NMI9988	2.56542e-06	1.36345e-12	4.82698	1.88156e+06
NMI97122	1.04022e-06	5.52847e-13	1.95724	1.88157e+06
NMI0198	1.05492e-05	5.68084e-12	19.5895	1.85697e+06
NMI94167	1.0401e-06	5.52786e-13	1.95703	1.88157e+06
NMI93158	1.04524e-06	5.57494e-13	1.95972	1.8749e+06
NMI106	4.16391e-06	2.22363e-12	7.79724	1.87257e+06
NMI9511	2.56618e-06	1.36386e-12	4.82842	1.88156e+06
NMI95161	9.68887e-06	5.14952e-12	18.2297	1.88151e+06
NMI03281	1.03013e-05	5.4972e-12	19.3037	1.87391e+06
NMI99152	1.04004e-06	5.52751e-13	1.9569	1.88157e+06
NMI0589	4.09298e-06	2.17533e-12	7.70113	1.88155e+06
NMI076	2.56603e-06	1.36378e-12	4.82814	1.88156e+06
NMI0173	2.56655e-06	1.36406e-12	4.82911	1.88156e+06
NMI97361	2.57798e-06	1.37218e-12	4.84337	1.87874e+06
NMI0416	6.88289e-05	3.78795e-11	125.066	1.81705e+06
NMI95210	4.09249e-06	2.17507e-12	7.70021	1.88155e+06
NMI00154	5.61871e-06	2.98623e-12	10.5718	1.88154e+06
NMI97265	1.48046e-06	7.87991e-13	2.78145	1.87878e+06
NMI97387	4.03087e-06	2.14865e-12	7.56191	1.876e+06
NMI0395	4.03261e-06	2.14345e-12	7.58681	1.88136e+06
NMI96169	1.03991e-06	5.52682e-13	1.95666	1.88157e+06
NMI067	3.07408e-06	1.6338e-12	5.78405	1.88155e+06
NMI96308	0.000144148	8.48346e-11	244.932	1.69917e+06
NMI006	2.05695e-06	1.09321e-12	3.87027	1.88156e+06
NMI97398	1.98913e-05	1.09371e-11	36.1763	1.8187e+06
NMI93116	3.63392e-06	1.93473e-12	6.82546	1.87826e+06
NMI0472	2.05786e-06	1.0937e-12	3.87199	1.88156e+06
NMI95101	1.54986e-06	8.2371e-13	2.91617	1.88156e+06
NMI96314	1.23482e-05	6.63968e-12	22.9648	1.85976e+06
NMI0618	1.99755e-05	1.07329e-11	37.1772	1.86114e+06
NMI01368	5.52791e-05	3.04346e-11	100.405	1.81633e+06
NMI9039	1.08407e-05	5.85675e-12	20.0659	1.85098e+06
NMI9693	2.05761e-06	1.09356e-12	3.87151	1.88156e+06
