Node	Beg	End
NMI9479	202780	203864
NMI9479	902893	905988
NMI9479	1253511	1258274
NMI9479	1380941	1381509
NMI9479	1383537	1383561
NMI0428	39435	39531
NMI96167	668927	669225
NMI96167	670004	670264
NMI96167	1436544	1436549
NMI96167	1516576	1518121
NMI97241	164916	166259
NMI97241	545429	547777
NMI97241	1242528	1244880
NMI97241	1245901	1246015
NMI9993	1436544	1436549
NMI96263	8182	13534
NMI96263	330444	333003
NMI96263	338924	340476
NMI96263	350219	350222
NMI96263	382892	383428
NMI96263	387918	388306
NMI96263	389771	391183
NMI96263	391786	396182
NMI96263	432274	432688
NMI96263	1000791	1001686
NMI96263	1013454	1019660
NMI96263	1041884	1041991
NMI96263	1335524	1336968
NMI96263	1454075	1455209
NMI00107	164964	165696
NMI00107	185801	189364
NMI0048	66665	72537
NMI99233	1436544	1436549
NMI99109	441618	443000
NMI99109	877949	879569
NMI99109	880870	881208
NMI99109	882845	885506
NMI99109	1473399	1475264
NMI0122	119726	122572
NMI0122	183191	188047
NMI03137	1348991	1349111
NMI0385	1436544	1436549
NMI01198	177388	178598
NMI0311	693206	693449
NMI9463	374513	375020
NMI0863	29752	31006
NMI0863	369342	370436
NMI0863	430682	431228
NMI0863	827338	827428
NMI0863	828483	829270
NMI0863	1111759	1111784
NMI0863	1274633	1274699
NMI0863	1332967	1334938
NMI98273	1436544	1436549
NMI098	112229	115201
NMI098	158147	159852
NMI098	163266	165770
NMI098	195458	197193
NMI098	309467	309661
NMI098	632895	637069
NMI098	1032700	1032768
NMI098	1256923	1258712
NMI098	1310728	1312222
NMI098	1330692	1330776
NMI098	1331571	1333729
NMI00177	289389	289540
NMI00177	291963	294176
NMI00177	355019	356883
NMI00177	375552	376412
NMI00177	511567	512407
NMI00177	608359	609059
NMI00177	1151667	1152403
NMI00177	1157105	1158933
NMI00177	1161691	1163130
NMI9629	1436544	1436549
NMI03255	254524	255680
NMI03255	708221	708918
NMI03255	1162114	1162816
NMI03255	1425155	1426511
NMI9848	29532	29822
NMI9848	228524	230056
NMI9848	1274142	1274505
NMI9299	1436544	1436549
NMI9746	1436544	1436549
NMI9652	53596	57139
NMI9652	65796	66461
NMI9652	706013	707659
NMI9652	856116	856579
NMI9652	1436544	1436549
NMI04183	1436544	1436549
NMI01359	115969	117336
NMI01359	375118	375798
NMI9567	1436544	1436549
NMI0131	1334687	1334729
NMI101	13834	18567
NMI101	116660	119271
NMI101	286353	287213
NMI101	354966	356083
NMI101	363712	364308
NMI101	365496	368643
NMI101	375118	375355
NMI101	398779	398931
NMI101	399959	402904
NMI101	443202	445726
NMI101	479375	481194
NMI101	531621	538065
NMI101	901179	906198
NMI101	985515	986091
NMI101	1131139	1131632
NMI101	1133129	1134768
NMI101	1159864	1159870
NMI101	1161736	1164685
NMI101	1271192	1274499
NMI101	1407618	1408819
NMI101	1459344	1460893
NMI0820	706069	706443
NMI0820	709119	709553
NMI01299	545685	547298
NMI94218	984861	986295
NMI94218	1448294	1450321
NMI94218	1453062	1453445
NMI94218	1454075	1455275
NMI94218	1461050	1462346
NMI94218	1463078	1463642
NMI94218	1480390	1480881
NMI99161	705160	706521
NMI00278	6826	7862
NMI00278	8547	10302
NMI00278	10984	13485
NMI00278	184894	185651
NMI00278	186626	187453
NMI00278	188218	194369
NMI00278	247862	249382
NMI00278	546586	547691
NMI00278	706054	706443
NMI00278	1218922	1220145
NMI00278	1518902	1522925
NMI95218	367838	367935
NMI95218	368626	368746
NMI95218	370866	372207
NMI95218	372930	374453
NMI95218	375121	375233
NMI95218	426671	427748
NMI0515	25116	28510
NMI95299	1334383	1334819
NMI02256	294424	294467
NMI02256	1334695	1339329
NMI0561	1436544	1436549
NMI00287	39435	39824
NMI01146	704957	706521
NMI01146	708804	711359
NMI01146	725180	727114
NMI01146	729905	732801
NMI01146	1334657	1334786
NMI01146	1363773	1364168
NMI0365	45260	45428
NMI0365	218820	219330
NMI0365	294424	294467
NMI0365	327865	328547
NMI0365	433467	440207
NMI0365	601030	604336
NMI0365	748980	749001
NMI0365	749733	750326
NMI0365	1045182	1045696
NMI0365	1059192	1059885
NMI0365	1133995	1135339
NMI0365	1136199	1136657
NMI0365	1137847	1138059
NMI0365	1229021	1229530
NMI0365	1230263	1231427
NMI0365	1234249	1235459
NMI0365	1333086	1333457
NMI96325	2448	4033
NMI96325	6934	10216
NMI96325	11094	13457
NMI96325	17445	21693
NMI96325	44891	46544
NMI96325	48273	48772
NMI96325	121909	123136
NMI96325	197789	197937
NMI96325	320625	322025
NMI96325	359468	360511
NMI96325	361109	362683
NMI96325	363982	365180
NMI96325	371830	373718
NMI96325	468794	470113
NMI96325	475150	477083
NMI96325	477742	477802
NMI96325	571103	572766
NMI96325	573523	574862
NMI96325	599868	602693
NMI96325	670659	670926
NMI96325	686054	686654
NMI96325	687765	690046
NMI96325	691513	691612
NMI96325	720912	726125
NMI96325	726826	726901
NMI96325	754439	754469
NMI96325	755062	755176
NMI96325	756133	757799
NMI96325	800589	800973
NMI96325	853913	857418
NMI96325	889157	889217
NMI96325	889769	890082
NMI96325	903661	904996
NMI96325	905594	905964
NMI96325	906498	907290
NMI96325	907855	909131
NMI96325	916070	916287
