Node	Beg	End
NMI94203	370	1030
NMI94203	1720	1996
NMI9645	153885	154628
NMI9645	244594	245271
NMI9645	320988	326674
NMI9645	442783	444415
NMI9645	445394	445916
NMI9645	471900	474399
NMI9645	475147	478965
NMI9645	516753	517337
NMI9645	518655	521766
NMI9645	775996	777454
NMI9645	1029573	1033064
NMI9645	1115613	1119137
NMI9645	1167891	1169104
NMI9645	1169964	1170884
NMI9645	1390882	1394963
NMI9645	1563362	1566110
NMI9645	1567836	1569773
NMI95199	897503	897931
NMI95199	1532967	1536232
NMI9656	1197089	1197217
NMI9896	36464	39404
NMI9896	50353	50981
NMI9896	257757	258870
NMI9896	356834	357648
NMI9896	482743	482808
NMI9896	484641	485817
NMI9896	488223	488343
NMI9896	489482	490712
NMI9896	491362	494011
NMI9896	495071	495966
NMI9896	510191	513257
NMI9896	517386	521691
NMI9896	563245	563957
NMI9896	565583	566760
NMI9896	669328	669828
NMI9896	713206	717020
NMI9896	903452	905403
NMI9896	907040	909706
NMI9896	1028325	1029665
NMI982	55194	58504
NMI982	978043	978810
NMI982	984248	985247
NMI0770	508	1297
NMI0770	128682	129777
NMI0770	130448	131942
NMI0770	326102	327421
NMI0770	418731	421759
NMI0770	490712	490994
NMI0770	546716	547241
NMI0770	628810	633895
NMI0770	644044	647404
NMI0770	902503	903665
NMI0770	904233	905176
NMI0770	906225	906365
NMI0770	906928	907720
NMI0770	919123	919952
NMI0770	921255	922893
NMI0770	1160929	1162685
NMI00253	29055	29188
NMI00253	1310800	1310812
NMI01270	8767	9037
NMI01270	9889	11755
NMI01270	12552	14550
NMI01270	260097	261427
NMI01270	395331	395529
NMI01270	472023	474441
NMI01270	478735	482984
NMI01270	583713	584312
NMI01270	720650	720790
NMI01270	731178	731462
NMI01270	990026	990862
NMI01270	1061997	1062536
NMI01270	1154726	1156524
NMI01270	1222023	1222933
NMI01270	1278811	1279464
NMI01270	1280762	1281420
NMI01270	1287047	1287753
NMI01270	1288328	1289368
NMI01270	1290213	1290398
NMI01270	1343068	1344398
18MI0008	30752	32077
18MI0008	33586	39146
18MI0008	45291	46126
18MI0008	47077	55676
18MI0008	56815	59032
18MI0008	60109	60271
18MI0008	100789	101178
18MI0008	101775	102004
18MI0008	102905	105572
18MI0008	106765	108796
18MI0008	151465	153199
18MI0008	269847	272818
18MI0008	316052	319851
18MI0008	326102	327015
18MI0008	347985	349487
18MI0008	520382	521981
18MI0008	682696	684529
18MI0008	687282	693682
18MI0008	703167	704538
18MI0008	708471	709209
18MI0008	731617	737533
18MI0008	788634	789066
18MI0008	883303	885482
18MI0008	886278	888162
18MI0008	978054	978371
18MI0008	979278	979561
18MI0008	985044	986843
18MI0008	987587	988983
18MI0008	1167638	1168597
18MI0008	1399982	1401447
18MI0008	1402068	1407225
18MI0008	1409091	1411098
18MI0008	1520339	1523183
18MI0008	1550680	1559625
18MI0008	1566518	1571367
18MI0008	1572198	1574910
18MI0008	1575524	1577227
18MI0008	1578626	1581480
NMI0067	4527	8266
NMI0067	51355	59476
NMI0067	60109	60499
NMI0067	641770	643285
NMI97106	524182	525497
NMI97106	901411	902143
NMI97106	904495	904714
NMI97106	905403	906365
NMI97106	907309	908918
NMI97106	910133	911820
NMI97106	1566518	1566830
NMI97106	1567758	1569585
NMI97106	1570316	1571581
NMI0058	371128	372079
NMI0058	758002	760653
NMI0058	1173369	1175061
NMI0058	1463693	1467552
NMI0228	105437	105938
NMI0228	106765	107884
NMI0228	541854	542294
NMI0228	742710	745324
NMI0228	746070	747121
NMI0228	900838	902506
NMI0228	903198	904714
NMI0228	906225	906365
NMI0228	907040	908889
NMI0145	855503	856089
NMI97105	691017	691436
NMI97105	1477224	1479318
NMI0928	839363	840047
NMI0928	856086	857678
NMI0928	1156158	1156762
NMI0928	1157362	1158508
NMI0928	1159102	1162062
NMI0928	1572609	1576594
NMI99263	55521	55882
NMI99263	56815	57463
NMI99263	58477	58831
NMI99263	234367	234742
NMI99263	1310198	1311705
17MI0063	1061661	1063579
NMI01344	669214	669884
NMI01344	759871	759884
NMI01344	762432	764417
NMI01344	765887	765953
NMI01344	767011	767652
NMI01344	769895	770374
NMI01344	771747	772219
NMI01344	773224	773300
19MI0106	855574	855748
19MI0106	1161187	1161942
19MI0106	1187016	1187627
19MI0078	716265	719075
NMI0233	323457	325260
NMI0136	856180	857495
NMI96262	1602023	1602726
NMI95279	896858	897029
NMI95279	1157223	1162122
NMI99238	855924	856089
NMI01366	1239836	1239928
NMI9920	30413	32992
NMI9920	103283	103992
NMI9920	254487	257637
NMI9920	259305	261621
NMI9920	327600	328233
19MI0012	1511822	1513469
19MI0012	1515394	1515905
NMI973	235088	235998
NMI973	237638	240890
NMI973	241465	242559
NMI973	244594	246170
NMI96234	417274	418976
NMI96234	584649	586414
NMI96234	587081	588734
NMI96234	632883	637705
NMI96234	644548	645566
NMI94252	22909	23180
NMI94252	24874	28557
NMI94252	103613	104754
NMI94252	257757	259483
NMI94252	264524	266325
NMI94252	895321	895652
NMI99202	417274	420150
NMI97260	509768	512270
NMI97260	513182	514892
NMI97260	628735	629214
NMI97260	630967	635959
NMI97260	636596	642442
NMI97260	716217	718490
NMI97260	853497	855148
NMI97260	947823	948895
NMI97260	1100913	1108080
NMI97260	1109581	1110082
NMI0248	820600	822742
NMI0248	1185754	1187602
NMI9795	153390	154929
NMI9795	565638	566875
NMI9795	569047	569157
NMI0235	240115	241913
NMI0235	855496	858451
NMI0235	859563	859812
NMI0235	860782	861245
NMI0235	934530	936968
NMI0377	1160929	1162122
NMI0377	1162827	1163412
NMI9975	418731	418994
NMI9975	1187491	1188303
14MI0017	98744	100453
14MI0017	267882	268215
14MI0017	269196	271503
14MI0017	437801	440751
14MI0017	514388	514805
14MI0017	515715	521981
14MI0017	526556	527330
14MI0017	536699	539404
14MI0017	583713	584499
14MI0017	600946	601141
14MI0017	740531	741976
14MI0017	749660	753477
14MI0017	758630	759799
14MI0017	761214	764775
14MI0017	765810	767720
14MI0017	856086	858451
14MI0017	859229	859563
14MI0017	1287300	1287771
14MI0017	1289262	1291110
14MI0017	1364665	1365080
14MI0017	1588398	1589544
NMI96142	242419	242865
