Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.881115	8.01867e-05	9681.96	10988.3
1/delta	0.00107808	1.20054e-10	9681.17	8.97997e+06
nu	0.0312642	3.48193e-09	280720	8.97898e+06
NMI94203	4.23471e-06	2.62502e-12	6.83146	1.61321e+06
NMI95230	4.83308e-06	2.99398e-12	7.80187	1.61426e+06
NMI9645	1.62503e-06	1.03016e-12	2.5634	1.57745e+06
NMI95199	6.07619e-06	3.77314e-12	9.78498	1.61038e+06
NMI9656	1.22113e-06	7.56543e-13	1.97101	1.61409e+06
NMI00258	1.22163e-06	7.56767e-13	1.97206	1.61428e+06
19MI0102	3.62941e-06	2.24833e-12	5.85884	1.61427e+06
NMI02222	4.23246e-06	2.62191e-12	6.83232	1.61427e+06
NMI9896	1.28207e-05	8.08927e-12	20.3196	1.5849e+06
NMI982	4.11531e-06	2.55663e-12	6.62428	1.60967e+06
NMI0770	2.11488e-05	1.32948e-11	33.6425	1.59076e+06
NMI0584	1.22144e-06	7.56649e-13	1.97175	1.61428e+06
NMI00253	6.74591e-06	4.17999e-12	10.8869	1.61386e+06
NMI01270	1.28228e-05	8.04247e-12	20.4444	1.59438e+06
18MI0008	2.21422e-05	1.44853e-11	33.8465	1.5286e+06
NMI95106	3.6291e-06	2.24814e-12	5.85834	1.61427e+06
NMI0067	3.67701e-06	2.29424e-12	5.89319	1.60271e+06
NMI97106	5.64975e-06	3.52022e-12	9.06752	1.60494e+06
NMI01278	3.62897e-06	2.24806e-12	5.85814	1.61427e+06
NMI0058	2.43955e-06	1.52008e-12	3.91518	1.60488e+06
NMI97248	3.01573e-06	1.86907e-12	4.86586	1.61349e+06
NMI93173	2.42576e-06	1.50269e-12	3.91584	1.61428e+06
NMI0228	7.07613e-06	4.41167e-12	11.3498	1.60396e+06
NMI9879	2.42555e-06	1.50257e-12	3.91551	1.61428e+06
NMI0145	6.04092e-06	3.74373e-12	9.7477	1.61361e+06
NMI96131	1.22157e-06	7.56727e-13	1.97196	1.61428e+06
NMI97105	2.57234e-06	1.59597e-12	4.14603	1.61177e+06
NMI0928	7.81089e-06	4.86892e-12	12.5305	1.60423e+06
NMI98174	3.62962e-06	2.24846e-12	5.85918	1.61427e+06
NMI99263	1.22676e-05	7.61802e-12	19.755	1.61034e+06
17MI0063	2.4286e-06	1.5063e-12	3.91562	1.6123e+06
NMI1053	3.62953e-06	2.24841e-12	5.85905	1.61427e+06
NMI01344	9.81211e-06	6.09616e-12	15.7931	1.60956e+06
NMI95165	1.82325e-06	1.12945e-12	2.94322	1.61428e+06
19MI0106	3.59047e-06	2.22663e-12	5.7897	1.61252e+06
NMI0737	1.22163e-06	7.56763e-13	1.97205	1.61428e+06
NMI01140	1.22153e-06	7.56703e-13	1.97189	1.61428e+06
19MI0078	1.95668e-06	1.21403e-12	3.15363	1.61172e+06
NMI0233	1.22399e-06	7.59105e-13	1.97358	1.61242e+06
NMI96168	1.8236e-06	1.12967e-12	2.94379	1.61428e+06
NMI0136	4.83774e-06	2.99943e-12	7.80274	1.61289e+06
NMI98189	4.23152e-06	2.62133e-12	6.8308	1.61427e+06
NMI96262	1.82943e-06	1.13382e-12	2.95181	1.61351e+06
NMI0592	3.02725e-06	1.8753e-12	4.8868	1.61427e+06
NMI95279	2.44196e-06	1.51761e-12	3.92933	1.60909e+06
NMI94179	1.22179e-06	7.56864e-13	1.97231	1.61428e+06
NMI99238	1.22249e-06	7.57406e-13	1.97317	1.61405e+06
17MI0039	1.22158e-06	7.56733e-13	1.97197	1.61428e+06
NMI01366	4.83495e-06	2.99543e-12	7.80415	1.61411e+06
NMI9920	2.44989e-06	1.52679e-12	3.9311	1.6046e+06
NMI00230	1.22131e-06	7.56568e-13	1.97154	1.61428e+06
19MI0012	2.66463e-06	1.65264e-12	4.29629	1.61234e+06
NMI96240	2.42575e-06	1.50269e-12	3.91583	1.61428e+06
NMI973	1.62685e-05	1.01185e-11	26.1566	1.6078e+06
NMI96234	3.37528e-06	2.10452e-12	5.41338	1.60383e+06
NMI0098	3.02714e-06	1.87524e-12	4.88663	1.61427e+06
NMI95300	1.82368e-06	1.12972e-12	2.94392	1.61428e+06
NMI94252	1.91857e-06	1.19439e-12	3.08183	1.60632e+06
NMI99202	3.6369e-06	2.25706e-12	5.8603	1.61135e+06
NMI02121	4.83411e-06	2.99462e-12	7.80353	1.61426e+06
NMI97260	7.98298e-06	5.02614e-12	12.6793	1.58829e+06
NMI0248	5.37687e-06	3.33805e-12	8.66099	1.61079e+06
NMI99119	2.42518e-06	1.50233e-12	3.91491	1.61428e+06
NMI0438	1.8233e-06	1.12948e-12	2.94331	1.61428e+06
NMI9795	2.9153e-06	1.8095e-12	4.69686	1.61111e+06
NMI98117	1.22135e-06	7.5659e-13	1.9716	1.61428e+06
NMI96176	1.22135e-06	7.56594e-13	1.97161	1.61428e+06
NMI0235	3.93064e-06	2.44756e-12	6.31239	1.60594e+06
NMI0377	4.84101e-06	3.00243e-12	7.80546	1.61236e+06
NMI05160	7.84425e-06	4.85937e-12	12.6626	1.61425e+06
NMI9975	2.43528e-06	1.50935e-12	3.92923	1.61346e+06
NMI97310	2.42516e-06	1.50232e-12	3.91487	1.61428e+06
14MI0017	2.68135e-05	1.69528e-11	42.41	1.58166e+06
NMI96336	4.00753e-05	2.48296e-11	64.6821	1.61402e+06
NMI9929	3.02794e-06	1.87573e-12	4.88792	1.61427e+06
NMI96142	4.64639e-06	2.90555e-12	7.43025	1.59914e+06
NMI99295	9.54522e-06	5.93641e-12	15.3479	1.60791e+06
NMI00169	1.82351e-06	1.12961e-12	2.94365	1.61428e+06
NMI0166	5.49899e-06	3.41542e-12	8.85363	1.61005e+06
NMI96191	2.42626e-06	1.50353e-12	3.91528	1.61371e+06
NMI98160	6.11839e-06	3.82321e-12	9.79144	1.60033e+06
NMI00243	4.23415e-06	2.62369e-12	6.83314	1.61381e+06
NMI0076	1.8236e-06	1.12967e-12	2.94379	1.61428e+06
NMI99244	1.82345e-06	1.12958e-12	2.94356	1.61428e+06
19MI0081	1.84934e-06	1.15121e-12	2.97085	1.60643e+06
NMI9592	2.42542e-06	1.50248e-12	3.91529	1.61428e+06
NMI0522	5.4551e-06	3.40323e-12	8.74408	1.60292e+06
16MI0032	4.02339e-06	2.50282e-12	6.46778	1.60754e+06
NMI0443	6.83e-06	4.29171e-12	10.8695	1.59144e+06
NMI99143	2.42539e-06	1.50246e-12	3.91524	1.61428e+06
NMI97142	1.23478e-06	7.67372e-13	1.9869	1.60911e+06
NMI9784	1.63208e-05	1.02319e-11	26.0331	1.59509e+06
NMI98221	3.62987e-06	2.24861e-12	5.85959	1.61427e+06
NMI99133	4.83828e-06	3.0002e-12	7.80245	1.61265e+06
NMI96192	1.82366e-06	1.12971e-12	2.94389	1.61428e+06
NMI96121	2.43108e-06	1.50929e-12	3.91586	1.61074e+06
NMI98185	4.24656e-06	2.63929e-12	6.8326	1.60898e+06
NMI9798	1.82767e-06	1.13469e-12	2.94386	1.61072e+06
NMI03140	2.42597e-06	1.50283e-12	3.91619	1.61428e+06
NMI97183	6.03691e-06	3.73974e-12	9.74514	1.61426e+06
NMI03189	4.83371e-06	2.99437e-12	7.80289	1.61426e+06
NMI96148	1.22157e-06	7.56728e-13	1.97196	1.61428e+06
NMI96315	6.63945e-06	4.11301e-12	10.7178	1.61426e+06
NMI00104	3.02759e-06	1.87551e-12	4.88735	1.61427e+06
NMI95267	8.47363e-06	5.29867e-12	13.551	1.5992e+06
NMI1022	1.22156e-06	7.56721e-13	1.97194	1.61428e+06
NMI00254	1.5068e-05	9.33451e-12	24.323	1.61422e+06
NMI99303	7.2411e-06	4.48573e-12	11.689	1.61425e+06
NMI00220	9.05453e-06	5.61393e-12	14.6038	1.61287e+06
NMI9321	1.22145e-06	7.56655e-13	1.97177	1.61428e+06
NMI93178	7.92842e-06	4.94813e-12	12.7038	1.60231e+06
17MI0030	1.22167e-06	7.56791e-13	1.97212	1.61428e+06
NMI95225	1.82846e-06	1.13407e-12	2.94802	1.6123e+06
NMI03183	1.87134e-05	1.17766e-11	29.7364	1.58904e+06
NMI95107	4.83441e-06	2.99481e-12	7.80402	1.61426e+06
NMI04180	7.84388e-06	4.85914e-12	12.662	1.61425e+06
NMI99283	3.63594e-06	2.25698e-12	5.85744	1.61098e+06
